Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1679400078.047101,1679400078.047387,82.000000,0.000000,2483.205078,2482.564209,2580.000000,2516.025635,2436.538574,2354.230713,2467.820557,2895.897461,2824.743652,2614.487061,2351.410156,2631.025635,2561.923096,2424.743652,2675.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679400078.054910,1679400078.055295,83.000000,0.000000,2506.281982,2519.871826,2596.794922,2539.487061,2462.435791,2375.769287,2482.564209,2887.051270,2790.384521,2615.000000,2356.666748,2639.871826,2562.820557,2439.615479,2728.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679400078.062718,1679400078.063104,84.000000,0.000000,2544.615479,2565.512939,2616.666748,2563.589844,2475.512939,2397.435791,2500.897461,2893.718018,2774.743652,2642.564209,2373.461426,2657.564209,2571.410156,2461.025635,2990.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,21.000000,0.000000,0.013422,0.619690,-0.047974,0.783264,0.000000,0.000000,0.000000,-40.910500,14.944020,41.073235
1679400078.070526,1679400078.071012,85.000000,0.000000,2582.692383,2600.256348,2641.025635,2599.230713,2480.641113,2415.256348,2509.743652,2913.974365,2783.974365,2678.461426,2402.179443,2693.461426,2589.487061,2494.871826,2782.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679400078.078335,1679400078.078821,86.000000,0.000000,2613.974365,2634.487061,2665.000000,2636.025635,2538.205078,2442.307617,2528.718018,2951.410156,2804.102539,2726.153809,2442.307617,2734.102539,2622.820557,2537.820557,2675.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679400078.086143,1679400078.086729,87.000000,0.000000,2650.256348,2677.307617,2692.948730,2666.281982,2600.384521,2492.564209,2578.974365,3003.974365,2824.102539,2773.333252,2484.487061,2777.692383,2654.743652,2584.487061,2728.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679400078.093951,1679400078.094537,88.000000,0.000000,2684.358887,2705.384521,2718.718018,2693.461426,2615.000000,2537.435791,2628.589844,3042.435791,2829.615479,2792.051270,2515.000000,2815.000000,2669.871826,2617.948730,2990.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,22.000000,0.000000,0.007139,0.617554,-0.056213,0.784485,0.857038,0.104505,0.502503,-40.836117,14.899618,40.765911
1679400078.101760,1679400078.102446,89.000000,0.000000,2717.564209,2726.281982,2751.281982,2725.512939,2656.025635,2573.718018,2686.025635,3095.641113,2847.435791,2843.718018,2563.846191,2862.564209,2708.461426,2657.820557,2782.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679400078.109568,1679400078.110254,90.000000,0.000000,2764.230713,2763.846191,2798.205078,2770.897461,2729.871826,2625.512939,2758.333252,3174.358887,2890.384521,2953.333252,2638.205078,2935.641113,2773.333252,2718.333252,2675.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679400078.117376,1679400078.118162,91.000000,0.000000,2800.641113,2806.666748,2830.384521,2813.333252,2762.692383,2649.743652,2783.205078,3189.102539,2866.923096,2981.281982,2678.205078,2973.846191,2800.384521,2752.179443,2728.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
